Sigla,Código,Município,PIB Municipal - preços de mercado (preços de 2010) (1970),PIB Municipal (valor adicionado a preços básicos) - indústria (preços de 2010) (1970),PIB Municipal (valor adicionado a preços básicos) - serviços (preços de 2010) (1970),PIB Municipal (valor adicionado a preços básicos) - agropecuária (preços de 2010) (1970),
AL,2705101,Matriz de Camaragibe,40713.6972925058,13975.9348692549,12111.8438572185,14625.9185660324,
AL,2705200,Messias,21738.8777044437,12619.2406565444,3453.7029725645,5665.9340753348,
AL,2705309,Minador do Negrão,4105.8326126763,178.6875038113,1055.6309078181,2871.5142010469,
AL,2705408,Monteirópolis,17466.029418592,371.9417059217,2141.3236994796,14952.7640131907,
AL,2705507,Murici,68033.939752949,22385.4947616935,17429.1985525033,28219.2464387522,
AL,2705606,Novo Lino,19493.8783740375,733.8940635357,10215.3618995306,8544.6224109712,
AL,2705705,Olho d'Água das Flores,15153.6814734634,3871.7785186166,9274.182359346,2007.7205955008,
AL,2705804,Olho d'Água do Casado,1135.9372381927,204.6375432277,550.7498094426,380.5498855225,
AL,2705903,Olho d'Água Grande,4287.7355698857,21.9495789296,2070.0731318638,2195.7128590922,
AL,2706000,Olivença,3662.2875081661,358.5109274117,1888.7899007373,1414.9866800173,
AL,2706109,Ouro Branco,9032.7907455824,282.1206274129,2639.7472462724,6110.9228718968,
AL,2706208,Palestina,2191.3028911136,150.4755268648,1054.4248401597,986.402524089,
AL,2706307,Palmeira dos Índios,112179.055083539,16035.612778061,78801.3635879111,17342.0787175675,
AL,2706406,Pão de Açúcar,14271.2845223198,3405.7349317101,9946.8647673449,918.6848232647,
AL,2706422,Pariconha,,,,,
AL,2706448,Paripueira,,,,,
AL,2706505,Passo de Camaragibe,10658.0772615826,1841.5947925533,3234.0256689013,5582.4568001278,
AL,2706604,Paulo Jacinto,14787.6466498776,546.4054329055,3953.703252565,10287.5379644071,
AL,2706703,Penedo,56387.957298902,14955.2487433519,34066.0270146822,7366.6815408677,
AL,2706802,Piaçabuçu,10330.3362968875,752.6474334462,3258.1993220588,6319.4895413826,
AL,2706901,Pilar,47662.4509621699,17696.3445790971,14748.0954040305,15218.0109790423,
AL,2707008,Pindoba,12202.0374059702,230.3850891046,3622.0858230912,8349.5664937742,
AL,2707107,Piranhas,2130.9726713062,67.9590806213,1869.9142556342,193.0993350507,
AL,2707206,Poço das Trincheiras,13714.5052159681,1530.5720109068,9960.4931888558,2223.4400162053,
AL,2707305,Porto Calvo,60018.6338608421,21669.6059607681,14488.3907702806,23860.6371297934,
AL,2707404,Porto de Pedras,15972.8269466518,370.1701326971,3868.4098783629,11734.2469355918,
AL,2707503,Porto Real do Colégio,12628.3116623507,1429.0705563109,6413.5373520293,4785.7037540102,
AL,2707602,Quebrangulo,23641.0289850553,813.4555150971,6821.9223419506,16005.6511280073,
AL,2707701,Rio Largo,171207.513946082,96612.6140336682,45667.5346687037,28927.3652437112,
AL,2707800,Roteiro,875.3250950409,74.3842216627,245.4711165943,555.4697567839,
AL,2707909,Santa Luzia do Norte,2440.5554249279,291.9902478154,844.0737129291,1304.4914641832,
AL,2708006,Santana do Ipanema,46520.5691097217,9086.9137734543,30460.2646303508,6973.3907059164,
AL,2708105,Santana do Mundaú,26275.3361915518,442.9316079079,12914.4218734321,12917.982710212,
AL,2708204,São Brás,4938.7812263151,411.2925905646,2261.4386079199,2266.0500278306,
AL,2708303,São José da Laje,56301.5620528204,40768.5028354161,22071.8712845412,-6538.8120671369,
AL,2708402,São José da Tapera,8088.4916594285,1372.9766608529,4196.8342176743,2518.6807809013,
AL,2708501,São Luís do Quitunde,49411.844375061,12127.6929233943,9854.8474423331,27429.3040093336,
AL,2708600,São Miguel dos Campos,123055.198724344,47134.2113323185,32709.3534780115,43211.6339140146,
AL,2708709,São Miguel dos Milagres,6154.2966044654,124.0911275016,1408.4590318307,4621.7464451331,
AL,2708808,São Sebastião,15826.483009121,802.9360612905,4039.0915224582,10984.4554253724,
AL,2708907,Satuba,12124.9012130481,5787.9328734479,5658.2053951052,678.762944495,
AL,2708956,Senador Rui Palmeira,,,,,
AL,2709004,Tanque d'Arca,6457.3747735873,91.7485616794,2237.2342766136,4128.3919352944,
AL,2709103,Taquarana,14864.1041714495,826.8099920984,4646.3804852337,9390.9136941174,
AL,2709152,Teotônio Vilela,,,,,
AL,2709202,Traipu,14725.8228618716,439.0076898917,9294.8149540636,4992.0002179163,
AL,2709301,União dos Palmares,125947.376452726,19447.4812362657,33363.6699651642,73136.2252512966,
AL,2709400,Viçosa,64218.4015659378,10032.3582779233,18896.5571079216,35289.4861800929,
AM,1300029,Alvarães,,,,,
AM,1300060,Amaturá,,,,,
AM,1300086,Anamã,,,,,
AM,1300102,Anori,32786.5815909766,273.6710241325,13165.1599619905,19347.7506048536,
AM,1300144,Apuí,,,,,
AM,1300201,Atalaia do Norte,24412.0270446696,654.935637028,17209.3291130705,6547.7622945712,
AM,1300300,Autazes,33443.596913258,1451.1039232421,9677.1872392255,22315.3057507904,
AM,1300409,Barcelos,26969.8367583913,682.0322578299,6402.856590696,19884.9479098654,
AM,1300508,Barreirinha,44557.9507427777,364.3035001528,6864.432419579,37329.2148230459,
AM,1300607,Benjamin Constant,46967.2455955006,5657.8005990793,32537.4358496454,8772.0091467762,
AM,1300631,Beruri,,,,,
AM,1300680,Boa Vista do Ramos,,,,,
AM,1300706,Boca do Acre,55435.4539724446,1907.7265965129,24291.5027801474,29236.2245957844,
AM,1300805,Borba,36669.8700497495,1394.5494406533,9324.3889720494,25950.9316370468,
AM,1300839,Caapiranga,,,,,
AM,1300904,Canutama,9203.2698052432,192.8585549051,5121.8093610776,3888.6018892608,
AM,1301001,Carauari,35347.1537230558,428.6136083123,14301.31131845,20617.2287962932,
AM,1301100,Careiro,103429.062946864,7050.4301080185,17094.6606182909,79283.9722205557,
AM,1301159,Careiro da Várzea,,,,,
AM,1301209,Coari,64471.758902768,7024.3371711212,26487.2594731064,30960.1622585404,
AM,1301308,Codajás,39663.2589088175,652.2667117141,15945.1038197112,23065.8883773925,
AM,1301407,Eirunepé,29328.4812877568,1355.3854046381,16309.4352485085,11663.6606346099,
AM,1301506,Envira,22315.8258248626,138.0073701698,10199.7358589367,11978.0825957559,
AM,1301605,Fonte Boa,24238.6097748591,345.7617920323,6231.4368047418,17661.4111780851,
AM,1301654,Guajará,,,,,
AM,1301704,Humaitá,36725.8594113973,1621.5889718025,9575.2207653382,25529.0496742565,
AM,1301803,Ipixuna,20435.1590210553,305.9918294779,9121.0885677378,11008.0786238399,
AM,1301852,Iranduba,,,,,
AM,1301902,Itacoatiara,89115.0776462336,13343.9217066072,33776.253262683,41994.9026769435,
AM,1301951,Itamarati,,,,,
AM,1302009,Itapiranga,10088.3764899829,683.1656883327,2706.1341670265,6699.0766346234,
AM,1302108,Japurá,13963.9154756812,280.7648797447,6979.1060526789,6704.0445432576,
AM,1302207,Juruá,15835.2114830206,36.5115333947,5886.5278899769,9912.172059649,
AM,1302306,Jutaí,12365.2791583387,117.7776182103,2306.7016500891,9940.7998900395,
AM,1302405,Lábrea,36149.7432049424,641.7272580793,9039.8554740027,26468.1604728603,
AM,1302504,Manacapuru,157420.686102866,4719.6082332685,46959.8053236376,105741.27254596,
AM,1302553,Manaquiri,,,,,
AM,1302603,Manaus,3245404.81782457,966050.175485909,2167027.09960419,112327.54273449,
AM,1302702,Manicoré,31593.9459445983,1194.5787487953,9119.5168064666,21279.8503893364,
AM,1302801,Maraã,17564.6026540381,149.4528090358,11282.3091592613,6132.8406857412,
AM,1302900,Maués,43074.1244440753,5991.703528795,8241.4517005772,28840.9692147029,
AM,1303007,Nhamundá,42213.6586905329,2131.3679795606,8491.2510034483,31591.0397075239,
AM,1303106,Nova Olinda do Norte,19682.8624481495,835.7728207167,5121.8466700807,13725.2429573523,
AM,1303205,Novo Airão,6370.2765724964,592.2025373262,2411.3695834091,3366.7044517611,
AM,1303304,Novo Aripuanã,28433.5666839899,1085.1849432456,11247.471953459,16100.9097872853,
AM,1303403,Parintins,110259.618684226,13043.3432909881,43848.4330399822,53367.8423532561,
AM,1303502,Pauini,22518.0143899819,466.6160142918,6860.3318614372,15191.0665142529,
AM,1303536,Presidente Figueiredo,,,,,
AM,1303569,Rio Preto da Eva,,,,,
AM,1303601,Santa Isabel do Rio Negro,12573.5892233377,295.8325265583,2884.9878499582,9392.7688468214,
AM,1303700,Santo Antônio do Içá,15756.2523875864,825.3264949704,8382.2744802896,6548.6514123261,
AM,1303809,São Gabriel da Cachoeira,42527.5091920854,2981.672279015,16185.0460832319,23360.7908298385,
AM,1303908,São Paulo de Olivença,19779.9195892322,1523.8658091247,6856.2292961246,11399.8244839828,
AM,1303957,São Sebastião do Uatumã,,,,,
AM,1304005,Silves,11975.9137802225,632.1228436939,2554.3603640698,8789.4305724587,
AM,1304062,Tabatinga,,,,,
AM,1304104,Tapauá,33933.6404833619,336.3124001695,7641.5253719988,25955.8027111934,
AM,1304203,Tefé,48861.5487970685,2641.2604200413,21327.7384277078,24892.5499493192,
AM,1304237,Tonantins,,,,,
AM,1304260,Uarini,,,,,
AM,1304302,Urucará,30134.3948664748,4083.1318688706,6468.717820413,19582.5451771912,
AM,1304401,Urucurituba,29622.1882563953,534.1653506979,10254.2351695946,18833.7877361027,
AP,1600055,Serra do Navio,,,,,
AP,1600105,Amapá,25114.254383038,2994.1512835773,8987.6772437809,13132.4258556798,
AP,1600154,Pedra Branca do Amaparí,,,,,
AP,1600204,Calçoene,8598.897417687,2536.2143745863,3237.2805015879,2825.4025415128,
AP,1600212,Cutias,,,,,
AP,1600238,Ferreira Gomes,,,,,
AP,1600253,Itaubal,,,,,
AP,1600279,Laranjal do Jari,,,,,
AP,1600303,Macapá,704654.056769825,472886.649569878,201556.888213984,30210.5189859636,
AP,1600402,Mazagão,28614.4636706852,3592.4935507911,12915.1508640968,12106.8192557973,
AP,1600501,Oiapoque,19621.5223931488,4621.4220110352,12867.2629102947,2132.8374718189,
AP,1600535,Porto Grande,,,,,
AP,1600550,Pracuúba,,,,,
AP,1600600,Santana,,,,,
AP,1600709,Tartarugalzinho,,,,,
AP,1600808,Vitória do Jari,,,,,
BA,2900108,Abaíra,13044.5847009142,464.2911334247,7679.8448202577,4900.4487472319,
BA,2900207,Abaré,5699.3360649457,246.91287299,1730.4567929636,3721.9663989921,
BA,2900306,Acajutiba,17934.8899918284,1506.0668917761,7355.2765880875,9073.5465119648,
BA,2900355,Adustina,,,,,
BA,2900405,Água Fria,12017.0974838186,356.0100338368,3747.1576354308,7913.9298145509,
BA,2900504,Érico Cardoso,11781.2764645558,1267.8807738793,3290.097694942,7223.2979957345,
BA,2900603,Aiquara,17118.7680096813,348.4265585444,4065.7064948003,12704.6349563367,
BA,2900702,Alagoinhas,226642.624586104,41222.87487267,149065.18906767,36354.5606457636,
BA,2900801,Alcobaça,43587.3353824749,5224.9040635669,18029.6318679254,20332.7994509824,
BA,2900900,Almadina,25146.1387140352,1428.2112940484,6729.860366075,16988.0670539118,
BA,2901007,Amargosa,38225.4745544806,4757.8835044543,16734.6693187862,16732.9217312402,
BA,2901106,Amélia Rodrigues,60330.6868357051,22798.3297898653,21934.2000727122,15598.1569731276,
BA,2901155,América Dourada,,,,,
BA,2901205,Anagé,31570.200079418,2998.91318793,7794.4861920738,20776.8006994139,
BA,2901304,Andaraí,45499.4081949188,1793.5736349598,16722.246027925,26983.5885320337,
BA,2901353,Andorinha,,,,,
BA,2901403,Angical,7125.6701370279,152.9830020321,2872.4482578504,4100.2388771455,
BA,2901502,Anguera,13086.8348971937,1901.6613801474,5344.7382618469,5840.4352551991,
BA,2901601,Antas,26010.6676104337,792.7031994232,7917.1730446175,17300.7913663933,
BA,2901700,Antônio Cardoso,19394.4521096733,329.4907858666,4374.2331249378,14690.7281988686,
BA,2901809,Antônio Gonçalves,8023.0128763751,908.6604391058,2819.4971015856,4294.8553356839,
BA,2901908,Aporá,12199.7063181378,574.2653774157,3302.0429736855,8323.3979670368,
BA,2901957,Apuarema,,,,,
BA,2902005,Aracatu,11030.6269210753,300.7271517391,4804.610473989,5925.2892953474,
BA,2902054,Araças,,,,,
BA,2902104,Araci,20362.7636866234,2101.4681180338,8108.3433572383,10152.9522113511,
BA,2902203,Aramari,16648.003464775,5573.2491240896,6750.9119739019,4323.8423667836,
BA,2902252,Arataca,,,,,
BA,2902302,Aratuípe,32008.5423901389,5089.4488637988,6510.7185941931,20408.3749321473,
BA,2902401,Aurelino Leal,41517.0958483577,1548.6538015725,8452.5822037356,31515.8598430499,
BA,2902500,Baianópolis,8241.8923397509,64.4696545506,3899.3936739043,4278.0290112959,
BA,2902609,Baixa Grande,12534.3579596043,704.5844673459,4460.0089649178,7369.7645273405,
BA,2902658,Banzaê,,,,,
BA,2902708,Barra,58977.9115315625,6855.3669381787,28740.8843951141,23381.6601982697,
BA,2902807,Barra da Estiva,9059.7406994039,682.0916927611,4529.9743120963,3847.6746945465,
BA,2902906,Barra do Choça,8746.9342436861,980.0147252875,3016.3048252348,4750.6146931638,
BA,2903003,Barra do Mendes,29149.3217071503,1201.412424075,8142.2794781282,19805.6298049468,
BA,2903102,Barra do Rocha,27597.4872609887,627.7617862215,5484.6012353511,21485.1242394158,
BA,2903201,Barreiras,42507.662457857,6063.5451102092,23760.7937287954,12683.3236188522,
BA,2903235,Barro Alto,,,,,
BA,2903276,Barrocas,,,,,
BA,2903300,Governador Lomanto Júnior,27513.7578226105,913.7466824927,5226.5682424354,21373.4428976821,
BA,2903409,Belmonte,69558.4369749865,2924.157769493,34791.7809741243,31842.4982313693,
BA,2903508,Belo Campo,10820.3647070315,1618.1193277965,4915.2049531714,4287.0404260636,
BA,2903607,Biritinga,9505.0615186987,344.306392779,2357.1520155786,6803.6031103411,
BA,2903706,Boa Nova,80390.3089896821,880.3081345628,12295.7204776136,67214.280377506,
BA,2903805,Boa Vista do Tupim,22447.7896203673,868.3309268983,10881.0430996368,10698.4155938323,
BA,2903904,Bom Jesus da Lapa,80120.5485447049,13173.969848041,41477.0696395108,25469.5090571529,
BA,2903953,Bom Jesus da Serra,,,,,
BA,2904001,Boninal,9533.139063204,2660.9721805949,3560.6506733213,3311.5162092878,
BA,2904050,Bonito,,,,,
BA,2904100,Boquira,104335.529768722,85748.148952102,14034.618413609,4552.7624030115,
BA,2904209,Botuporã,21536.2406315327,171.9613894242,7723.9998122634,13640.2794298451,
BA,2904308,Brejões,22901.4500483791,3584.5151126532,6553.7201393532,12763.2147963727,
BA,2904407,Brejolândia,4332.3189417086,74.1072092305,2353.6539214848,1904.557810993,
BA,2904506,Brotas de Macaúbas,10748.0407475864,552.1763774931,3169.9408149645,7025.9235551288,
BA,2904605,Brumado,146012.816520416,77285.4149101612,51880.6011817815,16846.8004284735,
BA,2904704,Buerarema,48169.9050358972,3457.6470766179,17606.0276465303,27106.2303127488,
BA,2904753,Buritirama,,,,,
BA,2904803,Caatiba,29695.6213488937,1418.8258059731,5018.5334069896,23258.2621359311,
BA,2904852,Cabaceiras do Paraguaçu,,,,,
BA,2904902,Cachoeira,62437.6836972773,21948.6884313241,28923.8283112872,11565.1669546657,
BA,2905008,Caculé,13973.5340685759,981.0717526013,8377.4252047896,4615.037111185,
BA,2905107,Caém,11500.1681019269,808.5051280075,2536.3100202526,8155.3529536667,
BA,2905156,Caetanos,,,,,
BA,2905206,Caetité,46192.8230699172,2832.1275366857,20076.0877078128,23284.6078254189,
BA,2905305,Cafarnaum,35535.7025857205,827.2473650672,13008.6260283688,21699.8291922846,
BA,2905404,Cairu,21077.798480127,969.691873052,8306.9760385096,11801.1305685652,
BA,2905503,Caldeirão Grande,16883.8033502956,433.9616384648,4214.4173896984,12235.4243221325,
BA,2905602,Camacan,84451.8288415908,4088.0728244785,37143.6373735747,43220.1186435376,
BA,2905701,Camaçari,396936.914025654,287187.468037596,73103.2165112211,36646.2294768363,
BA,2905800,Camamu,123956.368801383,19700.7899208044,15257.9284160223,88997.650464557,
BA,2905909,Campo Alegre de Lourdes,19839.0523755169,192.805434375,4407.0076579693,15239.2392831727,
BA,2906006,Campo Formoso,64555.2252574337,14407.9133763729,19921.8866345736,30225.4252464875,
BA,2906105,Canápolis,6874.6268522546,254.4632072458,1723.9929681955,4896.1706768133,
BA,2906204,Canarana,60033.5111782252,876.1256229203,9261.4829128847,49895.90264242,
BA,2906303,Canavieiras,116690.87950882,7318.7992438168,45042.7921016229,64329.2881633807,
BA,2906402,Candeal,12614.5586034983,943.8085452135,5211.7216261571,6459.0284321278,
BA,2906501,Candeias,297038.252313236,227856.20578477,66815.2012578075,2366.8452706573,
BA,2906600,Candiba,16836.1116769675,4448.4488210378,3518.7187293592,8868.9441265705,
BA,2906709,Cândido Sales,17282.3247230731,2519.1640406732,9368.6945127705,5394.4661696291,
BA,2906808,Cansanção,16236.6798853001,1172.4244647926,3867.803952964,11196.4514675437,
BA,2906824,Canudos,,,,,
BA,2906857,Capela do Alto Alegre,,,,,
BA,2906873,Capim Grosso,,,,,
BA,2906899,Caraíbas,,,,,
BA,2906907,Caravelas,47394.9276499606,3127.833121951,30595.3334666509,13671.7610613586,
BA,2907004,Cardeal da Silva,3865.3672827885,568.1114447813,945.509860679,2351.7459773282,
BA,2907103,Carinhanha,23544.4521872334,918.9371179404,10693.0323128344,11932.4827564587,
BA,2907202,Casa Nova,30992.0562259052,2061.6190131804,9356.7563329558,19573.680879769,
BA,2907301,Castro Alves,65832.8074501774,4514.3187176205,21713.5578075149,39604.9309250418,
BA,2907400,Catolândia,1269.5902893793,0,712.2032436794,557.3870456997,
BA,2907509,Catu,125341.201659588,60554.0029893416,50952.1861413832,13835.012528864,
BA,2907558,Caturama,,,,,
BA,2907608,Central,40280.7063240877,696.3425351869,11624.4307942435,27959.9329946571,
BA,2907707,Chorrochó,6784.9524140814,183.0566547853,3421.7693638809,3180.1263954151,
BA,2907806,Cícero Dantas,35484.1899581292,2602.2813638213,13727.7570458645,19154.1515484436,
BA,2907905,Cipó,10349.2436959289,1391.5173499503,7090.8471602853,1866.8791856933,
BA,2908002,Coaraci,57017.4104710679,5948.4770693318,22447.7168287656,28621.2165729703,
BA,2908101,Cocos,9811.5760790025,355.9971893665,3831.7900861198,5623.7888035164,
BA,2908200,Conceição da Feira,26656.3509084558,9574.5285613754,9396.7975183833,7685.0248286973,
BA,2908309,Conceição do Almeida,37734.969660957,1405.3350786951,13625.4973223288,22704.1372599331,
BA,2908408,Conceição do Coité,56185.3912729206,12605.3709415281,30894.4504433337,12685.5698880588,
BA,2908507,Conceição do Jacuípe,41727.9814402734,8875.7005472117,18678.7778019305,14173.5030911312,
BA,2908606,Conde,22519.72173908,2090.2890903705,8150.5804562518,12278.8521924577,
BA,2908705,Condeúba,14921.3092208431,591.4509974645,7159.3607218427,7170.4975015359,
BA,2908804,Contendas do Sincorá,26898.7284850942,583.4485733961,11071.6007665002,15243.6791451979,
BA,2908903,Coração de Maria,58366.3043084779,1618.5798380766,15148.9644076561,41598.760062745,
BA,2909000,Cordeiros,11789.4122071245,547.2289621583,3244.2911251993,7997.8921197671,
BA,2909109,Coribe,20440.8432288221,445.1915986611,3243.9696007459,16751.682029415,
BA,2909208,Coronel João Sá,6554.3455555728,484.4552177091,2612.6563533647,3457.233984499,
BA,2909307,Correntina,22755.3159336633,1313.5199192415,9147.4870821215,12294.3089323003,
BA,2909406,Cotegipe,19576.2532821467,1219.7762564865,8330.5424928915,10025.9345327687,
BA,2909505,Cravolândia,10075.3309970429,1646.4137402,3002.3712031008,5426.5460537421,
BA,2909604,Crisópolis,40747.9542320344,1669.8041369428,5481.3796178717,33596.7704772201,
BA,2909703,Cristópolis,6151.853710636,116.1899779669,1406.8517615713,4628.811971098,
BA,2909802,Cruz das Almas,70908.1309775363,15920.2821180489,33006.8409505841,21981.0079089033,
BA,2909901,Curaçá,34368.2022303721,683.8394379878,9796.8028970971,23887.5598952872,
BA,2910008,Dário Meira,19455.1835689793,1551.1745864804,3579.0689719554,14324.9400105434,
BA,2910057,Dias d'Ávila,,,,,
BA,2910107,Dom Basílio,7256.1264344233,77.3003059587,2344.2265545605,4834.5995739041,
BA,2910206,Dom Macedo Costa,11192.2386951052,278.1279054143,2182.1213548247,8731.989434866,
BA,2910305,Elísio Medrado,17626.8208246231,273.4798547384,4207.7938554662,13145.5471144187,
BA,2910404,Encruzilhada,20328.6459883707,742.3964466962,10259.1116587371,9327.1378829375,
BA,2910503,Entre Rios,38593.6402958497,2452.7906886145,16339.5957001288,19801.2539071065,
BA,2910602,Esplanada,43749.5134557793,4149.801329854,19720.2827846276,19879.4293412977,
BA,2910701,Euclides da Cunha,34684.704289148,7349.4557034867,18963.5087994202,8371.7397862411,
BA,2910727,Eunápolis,,,,,
BA,2910750,Fátima,,,,,
BA,2910776,Feira da Mata,,,,,
BA,2910800,Feira de Santana,1058540.90442018,280254.240091058,697509.28286841,80777.3814607125,
BA,2910859,Filadélfia,,,,,
BA,2910909,Firmino Alves,9972.974473582,1000.0819648451,5069.061085302,3903.8314234349,
BA,2911006,Floresta Azul,32961.1086352136,1914.5399088363,7608.6201084597,23437.9486179179,
BA,2911105,Formosa do Rio Preto,12651.658310247,543.715372858,3144.9452261322,8962.9977112568,
BA,2911204,Gandu,59525.9665357606,4635.8153626743,30492.8838347562,24397.2673383299,
BA,2911253,Gavião,,,,,
BA,2911303,Gentio do Ouro,21959.5711013892,117.2060908216,18666.6408511828,3175.7241593848,
